 index	Title	Beats Per Minute	Popularity
527	Hey Brother	125	78
528	I See Fire	76	64
529	This Is What It Feels Like	130	65
530	All of Me	120	86
531	Dansen Op De Vulkaan	151	40
532	Witch Doctor	145	47
533	Diamonds	170	35
534	Let Her Go	75	76
535	Papaoutai	116	55
536	Strong	78	49
537	Layla	114	32
538	Pompeii	127	70
539	Waves	174	59
540	Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit	116	77
541	All I Want	86	72
542	Addicted To You	128	69
543	Animals	128	65
544	Just Say Yes	108	48
545	Watermensen	144	36
546	Sky and Sand	127	67
547	The Monster	110	75
548	Mirrors	77	77
549	Story of My Life	121	80
550	Royals	85	79
551	tous les mêmes	110	53
552	Mijn Van Straat Geredde Roos	81	33
553	Love You Like I Love Myself	148	28
554	I Sat By The Ocean	117	66
555	Everybody (Backstreet's Back) - Radio Edit	108	62
556	A Ton of Love	142	26
557	Foolish Games	131	41
558	Grow Old with Me	146	49
559	Things We Lost In The Fire	134	48
560	Blurred Lines	120	76
561	The Road To Mandalay	99	30
562	Iron Sky	140	49
563	A Sky Full of Stars	125	78
564	Rolling In The Deep	105	61
565	Streets	168	57
566	Thinking out Loud	79	84
567	Take Me to Church	129	77
568	Une belle histoire	83	40
569	In Your Arms	93	60
570	Born Slippy (Nuxx)	140	65
571	War	126	59
572	Op 't platteland	80	27
573	"Happy - From ""Despicable Me 2"""	160	80
574	Calm After The Storm	116	52
575	Riddles	148	52
576	Under The Pressure	134	60
577	Magic	93	73
578	Photograph	108	84
579	All For Nothing	152	47
580	My Silver Lining	102	64
581	Zandloper	135	47
582	Home	130	42
583	Red Eyes	162	65
584	L'amour Toujours (Small Mix)	139	70
585	"See Me, Feel Me - Single Version"	94	39
586	Hemel Valt	97	43
587	Glycerine	114	65
588	Wit Licht	146	43
589	Yellow Submarine	111	58
590	California Love	92	41
591	Superheroes	167	75
592	Stay With Me	84	84
593	Shake It Off	160	66
594	Looking Too Closely	175	63
595	No Good in Goodbye	156	59
596	Counting Stars	122	74
597	Time After Time	130	72
598	Sexy Als Ik Dans	94	49
599	Done With It	116	49
600	Love Never Felt So Good	118	70
601	Shut Up and Dance	128	82
602	Nothing Really Matters	135	61
603	Promises of No Man's Land	124	43
604	Let It Go	147	74
605	The Sound of Silence	86	75
606	Het Dorp - Live	114	15
607	Psycho	125	69
