 Index	Year	Decade
1296	1984	1980
1297	1984	1980
1298	1984	1980
1299	1984	1980
1300	1984	1980
1301	1984	1980
1302	1984	1980
1303	1984	1980
1304	1984	1980
1305	1984	1980
1306	1984	1980
1307	1984	1980
1308	1984	1980
1309	1984	1980
1310	1984	1980
1311	1985	1990
1312	1985	1990
1313	1985	1990
1314	1985	1990
1315	1985	1990
1316	1985	1990
1317	1985	1990
1318	1985	1990
1319	1985	1990
1320	1985	1990
1321	1985	1990
1322	1985	1990
1323	1985	1990
1324	1985	1990
1325	1985	1990
1326	1985	1990
1327	1985	1990
1328	1985	1990
1329	1985	1990
1330	1985	1990
1331	1985	1990
1332	1985	1990
1333	1985	1990
1334	1985	1990
1335	1985	1990
1336	1985	1990
1337	1985	1990
1338	1985	1990
1339	1985	1990
1340	1985	1990
1341	1985	1990
1342	1985	1990
1343	1985	1990
1344	1985	1990
1345	1986	1990
1346	1986	1990
1347	1986	1990
1348	1986	1990
1349	1986	1990
1350	1986	1990
1351	1986	1990
1352	1986	1990
1353	1986	1990
1354	1986	1990
1355	1986	1990
1356	1986	1990
1357	1986	1990
1358	1986	1990
1359	1986	1990
1360	1986	1990
1361	1986	1990
1362	1986	1990
1363	1986	1990
1364	1986	1990
1365	1986	1990
1366	1986	1990
1367	1986	1990
1368	1986	1990
1369	1986	1990
1370	1986	1990
1371	1986	1990
1372	1986	1990
1373	1986	1990
1374	1986	1990
1375	1986	1990
1376	1986	1990
1377	1986	1990
1378	1986	1990
1379	1986	1990
1380	1986	1990
1381	1986	1990
1382	1986	1990
1383	1986	1990
1384	1986	1990
1385	1986	1990
1386	1986	1990
1387	1987	1990
1388	1987	1990
1389	1987	1990
1390	1987	1990
1391	1987	1990
1392	1987	1990
1393	1987	1990
1394	1987	1990
1395	1987	1990
1396	1987	1990
1397	1987	1990
1398	1987	1990
1399	1987	1990
1400	1987	1990
1401	1987	1990
1402	1987	1990
1403	1987	1990
1404	1987	1990
1405	1987	1990
1406	1987	1990
1407	1987	1990
1408	1987	1990
1409	1987	1990
1410	1987	1990
1411	1987	1990
1412	1987	1990
1413	1987	1990
1414	1987	1990
1415	1987	1990
1416	1987	1990
1417	1987	1990
1418	1987	1990
1419	1987	1990
1420	1987	1990
1421	1987	1990
1422	1987	1990
1423	1987	1990
1424	1987	1990
1425	1987	1990
1426	1987	1990
1427	1987	1990
1428	1987	1990
1429	1987	1990
1430	1987	1990
1431	1987	1990
1432	1987	1990
1433	1988	1990
1434	1988	1990
1435	1988	1990
1436	1988	1990
1437	1988	1990
1438	1988	1990
1439	1988	1990
1440	1988	1990
1441	1988	1990
1442	1988	1990
1443	1988	1990
1444	1988	1990
1445	1988	1990
1446	1988	1990
1447	1988	1990
1448	1988	1990
1449	1988	1990
1450	1988	1990
1451	1988	1990
1452	1988	1990
1453	1988	1990
1454	1988	1990
1455	1988	1990
1456	1988	1990
1457	1988	1990
1458	1988	1990
1459	1988	1990
1460	1988	1990
1461	1988	1990
1462	1988	1990
1463	1989	1990
1464	1989	1990
1465	1989	1990
1466	1989	1990
1467	1989	1990
1468	1989	1990
1469	1989	1990
1470	1989	1990
1471	1989	1990
1472	1989	1990
1473	1989	1990
1474	1989	1990
1475	1989	1990
1476	1989	1990
1477	1989	1990
1478	1989	1990
1479	1989	1990
1480	1989	1990
1481	1989	1990
1482	1989	1990
1483	1989	1990
1484	1989	1990
1485	1989	1990
1486	1989	1990
1487	1989	1990
1488	1989	1990
1489	1989	1990
1490	1989	1990
1491	1989	1990
1492	1989	1990
1493	1989	1990
1494	1989	1990
1495	1989	1990
1496	1989	1990
1497	1990	1990
1498	1990	1990
1499	1990	1990
1500	1990	1990
1501	1990	1990
1502	1990	1990
1503	1990	1990
1504	1990	1990
1505	1990	1990
1506	1990	1990
1507	1990	1990
1508	1990	1990
1509	1990	1990
1510	1990	1990
1511	1990	1990
1512	1990	1990
1513	1990	1990
1514	1990	1990
1515	1990	1990
1516	1991	1990
1517	1991	1990
1518	1991	1990
1519	1991	1990
1520	1991	1990
1521	1991	1990
1522	1991	1990
1523	1991	1990
1524	1991	1990
1525	1991	1990
1526	1991	1990
1527	1991	1990
1528	1991	1990
1529	1991	1990
1530	1991	1990
1531	1991	1990
1532	1991	1990
1533	1991	1990
1534	1991	1990
1535	1991	1990
1536	1991	1990
1537	1991	1990
1538	1991	1990
1539	1991	1990
1540	1991	1990
1541	1991	1990
1542	1991	1990
1543	1991	1990
1544	1991	1990
1545	1991	1990
1546	1991	1990
1547	1991	1990
1548	1991	1990
1549	1991	1990
1550	1991	1990
1551	1991	1990
1552	1991	1990
1553	1991	1990
1554	1991	1990
1555	1991	1990
1556	1991	1990
1557	1991	1990
1558	1991	1990
1559	1991	1990
1560	1991	1990
1561	1991	1990
1562	1991	1990
1563	1991	1990
1564	1991	1990
1565	1991	1990
1566	1991	1990
1567	1991	1990
1568	1992	1990
1569	1992	1990
1570	1992	1990
1571	1992	1990
1572	1992	1990
1573	1992	1990
1574	1992	1990
1575	1992	1990
1576	1992	1990
1577	1992	1990
1578	1992	1990
1579	1992	1990
1580	1992	1990
1581	1992	1990
1582	1992	1990
1583	1992	1990
1584	1992	1990
1585	1992	1990
1586	1992	1990
1587	1992	1990
1588	1992	1990
1589	1992	1990
1590	1992	1990
1591	1992	1990
1592	1992	1990
1593	1992	1990
1594	1992	1990
1595	1992	1990
1596	1992	1990
1597	1992	1990
1598	1992	1990
1599	1992	1990
1600	1992	1990
1601	1992	1990
1602	1992	1990
1603	1993	1990
1604	1993	1990
1605	1993	1990
1606	1993	1990
1607	1993	1990
1608	1993	1990
1609	1993	1990
1610	1993	1990
1611	1993	1990
1612	1993	1990
1613	1993	1990
1614	1993	1990
1615	1993	1990
1616	1993	1990
1617	1993	1990
1618	1993	1990
1619	1993	1990
1620	1993	1990
1621	1993	1990
1622	1993	1990
1623	1993	1990
1624	1993	1990
1625	1993	1990
1626	1993	1990
1627	1993	1990
1628	1993	1990
1629	1993	1990
1630	1993	1990
1631	1994	1990
1632	1994	1990
1633	1994	1990
1634	1994	1990
1635	1994	1990
1636	1994	1990
1637	1994	1990
1638	1994	1990
1639	1994	1990
1640	1994	1990
1641	1994	1990
1642	1994	1990
1643	1994	1990
1644	1994	1990
1645	1994	1990
1646	1994	1990
1647	1994	1990
1648	1994	1990
1649	1994	1990
1650	1994	1990
1651	1994	1990
1652	1994	1990
1653	1994	1990
1654	1994	1990
1655	1994	1990
1656	1995	2000
1657	1995	2000
1658	1995	2000
1659	1995	2000
1660	1995	2000
1661	1995	2000
1662	1995	2000
1663	1995	2000
1664	1995	2000
1665	1995	2000
1666	1995	2000
1667	1995	2000
1668	1995	2000
1669	1995	2000
1670	1995	2000
1671	1995	2000
1672	1995	2000
1673	1995	2000
1674	1995	2000
1675	1995	2000
1676	1995	2000
1677	1995	2000
1678	1995	2000
1679	1995	2000
1680	1995	2000
1681	1995	2000
1682	1995	2000
1683	1995	2000
1684	1995	2000
1685	1995	2000
1686	1995	2000
1687	1995	2000
1688	1995	2000
1689	1995	2000
1690	1995	2000
1691	1995	2000
1692	1995	2000
1693	1995	2000
1694	1995	2000
1695	1996	2000
1696	1996	2000
1697	1996	2000
1698	1996	2000
1699	1996	2000
1700	1996	2000
1701	1996	2000
1702	1996	2000
1703	1996	2000
1704	1996	2000
1705	1996	2000
1706	1996	2000
1707	1996	2000
1708	1996	2000
1709	1996	2000
1710	1996	2000
1711	1996	2000
1712	1996	2000
1713	1996	2000
1714	1996	2000
1715	1996	2000
1716	1996	2000
1717	1996	2000
1718	1996	2000
1719	1997	2000
1720	1997	2000
1721	1997	2000
1722	1997	2000
1723	1997	2000
1724	1997	2000
1725	1997	2000
1726	1997	2000
1727	1997	2000
1728	1997	2000
1729	1997	2000
1730	1997	2000
1731	1997	2000
1732	1997	2000
1733	1997	2000
1734	1997	2000
1735	1997	2000
1736	1997	2000
1737	1997	2000
1738	1997	2000
1739	1997	2000
1740	1997	2000
1741	1997	2000
1742	1997	2000
1743	1997	2000
1744	1997	2000
1745	1997	2000
1746	1997	2000
1747	1997	2000
1748	1997	2000
1749	1997	2000
1750	1997	2000
1751	1997	2000
1752	1997	2000
1753	1997	2000
1754	1998	2000
1755	1998	2000
1756	1998	2000
1757	1998	2000
1758	1998	2000
1759	1998	2000
1760	1998	2000
